2020-07-18 15:00:00;23
2020-07-18 14:45:00;69
2020-07-18 14:30:00;73
2020-07-18 14:15:00;68
2020-07-18 14:00:00;71
2020-07-18 13:45:00;39
2020-07-18 13:30:00;73
2020-07-18 13:15:00;41
2020-07-18 13:00:00;67
2020-07-18 12:45:00;71
2020-07-18 12:30:00;65
2020-07-18 12:15:00;55
2020-07-18 12:00:00;68
2020-07-18 11:45:00;68
2020-07-18 11:30:00;58
2020-07-18 11:15:00;47
2020-07-18 11:00:00;42
2020-07-18 10:45:00;52
2020-07-18 10:30:00;51
2020-07-18 10:15:00;46
2020-07-18 10:00:00;43
2020-07-18 09:45:00;38
2020-07-18 09:30:00;35
2020-07-18 09:15:00;31
2020-07-18 09:00:00;28
2020-07-18 08:45:00;16
2020-07-18 08:30:00;9
2020-07-18 08:15:00;8
2020-07-18 08:00:00;7
2020-07-18 07:45:00;7
2020-07-18 07:30:00;6
2020-07-18 07:15:00;5
2020-07-18 07:00:00;3
2020-07-18 06:45:00;2
2020-07-18 06:30:00;1
2020-07-18 06:15:00;1
2020-07-18 06:00:00;1
2020-07-18 05:45:00;0
2020-07-18 05:30:00;0
2020-07-18 05:15:00;0
2020-07-18 05:00:00;0
2020-07-18 04:45:00;1
2020-07-18 04:30:00;0
2020-07-18 04:15:00;0
2020-07-18 04:00:00;0
2020-07-18 03:45:00;0
2020-07-18 03:30:00;0
2020-07-18 03:15:00;1
2020-07-18 03:00:00;0
2020-07-18 02:45:00;0
2020-07-18 02:30:00;0
2020-07-18 02:15:00;0
2020-07-18 02:00:00;0
2020-07-18 01:45:00;0
2020-07-18 01:30:00;1
2020-07-18 01:15:00;0
2020-07-18 01:00:00;0
2020-07-18 00:45:00;0
2020-07-18 00:30:00;0
2020-07-18 00:15:00;0
2020-07-18 00:00:00;0
2020-07-17 23:45:00;1
2020-07-17 23:30:00;0
2020-07-17 23:15:00;0
2020-07-17 23:00:00;0
2020-07-17 22:45:00;0
2020-07-17 22:30:00;0
2020-07-17 22:15:00;0
2020-07-17 22:00:00;1
2020-07-17 21:45:00;0
2020-07-17 21:30:00;0
2020-07-17 21:15:00;0
2020-07-17 21:00:00;0
2020-07-17 20:45:00;2
2020-07-17 20:30:00;3
2020-07-17 20:15:00;5
2020-07-17 20:00:00;9
2020-07-17 19:45:00;10
2020-07-17 19:30:00;10
2020-07-17 19:15:00;10
2020-07-17 19:00:00;13
2020-07-17 18:45:00;13
2020-07-17 18:30:00;25
2020-07-17 18:15:00;18
2020-07-17 18:00:00;20
2020-07-17 17:45:00;27
2020-07-17 17:30:00;20
2020-07-17 17:15:00;22
2020-07-17 17:00:00;34
2020-07-17 16:45:00;26
2020-07-17 16:30:00;36
2020-07-17 16:15:00;33
2020-07-17 16:00:00;29
2020-07-17 15:45:00;37
2020-07-17 15:30:00;33
2020-07-17 15:15:00;34
